imdb_id,Movie,Release Year,Rating,# of Ratings,Genre,Awards,Oscar Ws,Oscar Ns,Other Ws,Other Ns,Director,Cast,Description
tt2234155,The Internship ,2013,6.3,"126,335",Comedy,1 nomination.,0,0,0,1,Shawn Levy,"Vince Vaughn, Owen Wilson, Rose Byrne, Aasif Mandvi","Two salesmen whose careers have been torpedoed by the digital age find their way into a coveted internship at Google, where they must compete with a group of young, tech-savvy geniuses for a shot at employment."
tt2179116,The Kings of Summer ,2013,7.2,"42,877","Comedy, Drama",4 wins & 5 nominations.,0,0,4,5,Jordan Vogt-Roberts,"Nick Robinson, Gabriel Basso, Moises Arias, Nick Offerman","Three teenage friends, in the ultimate act of independence, decide to spend their summer building a house in the woods and living off the land."
tt1549920,The Last Stand ,2013,6.4,"97,353","Action, Crime, Thriller",2 wins & 1 nomination.,0,0,2,1,Kim Jee-woon,"Arron Shiver, Arnold Schwarzenegger, Forest Whitaker, Titos Menchaca","The leader of a drug cartel busts out of a courthouse and speeds to the Mexican border, where the only thing in his path is a sheriff and his inexperienced staff."
tt0359950,The Secret Life of Walter Mitty ,2013,7.4,"168,537","Adventure, Comedy, Drama",6 wins & 12 nominations.,0,0,6,12,Ben Stiller,"Ben Stiller, Kristen Wiig, Jon Daly, Kathryn Hahn","When his job along with that of his co-worker are threatened, Walter takes action in the real world embarking on a global journey that turns into an adventure more extraordinary than anything he could have ever imagined."
tt1758795,The To Do List ,2013,5.8,"21,370",Comedy,N/A,0,0,0,0,Maggie Carey,"Aubrey Plaza, Johnny Simmons, Bill Hader, Alia Shawkat","Feeling pressured to become more sexually experienced before she goes to college, Brandy Klark makes a list of things to accomplish before hitting campus in the fall."
tt1727388,The Way Way Back ,2013,7.4,"91,641","Comedy, Drama",4 wins & 24 nominations.,0,0,4,24,"Nat Faxon, Jim Rash","Steve Carell, Toni Collette, Allison Janney, AnnaSophia Robb","Shy 14-year-old Duncan goes on summer vacation with his mother, her overbearing boyfriend, and her boyfriend's daughter. Having a rough time fitting in, Duncan finds an unexpected friend in Owen, manager of the Water Wizz water park."
tt0993846,The Wolf of Wall Street ,2013,8.3,"459,484","Biography, Comedy, Crime",Nominated for 5 Oscars. Another 30 wins & 96 nominations.,0,5,30,96,Martin Scorsese,"Leonardo DiCaprio, Jonah Hill, Margot Robbie, Matthew McConaughey","Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government."
tt1430132,The Wolverine ,2013,6.8,"239,114","Action, Adventure, Sci-Fi",1 win & 9 nominations.,0,0,1,9,James Mangold,"Hugh Jackman, Tao Okamoto, Rila Fukushima, Hiroyuki Sanada","Logan, a.k.a, The Wolverine, is sent into modern-day Japan to meet an acquaintance who wants to offer him thanks. However, Logan gets convoluted into a battle where has to face not only a deviant atrocity and lethal samurai steel but also his own immortality."
tt1213663,The World's End ,2013,7,"130,822","Action, Comedy, Sci-Fi",4 wins & 14 nominations.,0,0,4,14,Edgar Wright,"Thomas Law, Zachary Bailess, Jasper Levine, James Tarpey",Five friends who reunite in an attempt to top their epic pub crawl from 20 years earlier unwittingly become humankind's only hope for survival.
tt1245492,This Is the End ,2013,6.8,"237,113","Comedy, Fantasy",12 wins & 12 nominations.,0,0,12,12,"Evan Goldberg, Seth Rogen","James Franco, Jonah Hill, Seth Rogen, Jay Baruchel","While attending a party at James Franco's house, Seth Rogen, Jay Baruchel and many other celebrities are faced with the apocalypse."
tt1981115,Thor: The Dark World ,2013,7.2,"273,895","Action, Adventure, Fantasy",18 nominations.,0,0,0,18,Alan Taylor,"Chris Hemsworth, Natalie Portman, Tom Hiddleston, Anthony Hopkins","When Thor's love interest gets cursed with a powerful object, Thor must protect it before an army and it's ruthless leader try to get their hands on it to take over the remains of Earth."
tt3089388,Tim's Vermeer ,2013,7.9,"3,220",Documentary,Nominated for 1 BAFTA Film Award. Another 2 wins & 3 nominations.,0,0,2,3,Teller,"Tim Jenison, Penn Jillette, Martin Mull, Philip Steadman",Inventor Tim Jenison seeks to understand the painting techniques used by Dutch Master Johannes Vermeer.
tt1441395,Under the Skin ,2013,6.2,"42,912","Drama, Sci-Fi, Thriller",1 win & 8 nominations.,0,0,1,8,Jonathan Glazer,"Scarlett Johansson, Jeremy McWilliams, Lynsey Taylor Mackay, Dougie McConnell",A mysterious woman seduces lonely men in the evening hours in Scotland. Events lead her to begin a process of self-discovery.
tt2084989,Upstream Color ,2013,6.8,"14,600","Drama, Mystery, Romance",4 wins & 21 nominations.,0,0,4,21,Shane Carruth,"Amy Seimetz, Shane Carruth, Andrew Sensenig, Thiago Martins","A man and woman are drawn together, entangled in the life cycle of an ageless organism. Identity becomes an illusion as they struggle to assemble the loose fragments of wrecked lives."
tt1723121,We're the Millers ,2013,7.1,"236,547",Comedy,4 wins & 10 nominations.,0,0,4,10,Rawson Marshall Thurber,"Jennifer Aniston, Jason Sudeikis, Emma Roberts, Will Poulter",A veteran pot dealer creates a fake family as part of his plan to move a huge shipment of weed into the U.S. from Mexico.
tt2309021,We Are What We Are ,2013,5.8,"10,171","Drama, Horror, Thriller",7 wins & 8 nominations.,0,0,7,8,Jim Mickle,"Kassie Wesley DePaiva, Laurent Rejto, Julia Garner, Ambyr Childers","The Parkers, a reclusive family who follow ancient customs, find their secret existence threatened as a torrential downpour moves into their area, forcing daughters Iris and Rose to assume responsibilities beyond those of a typical family."
tt0816711,World War Z ,2013,7,"340,975","Action, Adventure, Horror",3 wins & 18 nominations.,0,0,3,18,Marc Forster,"Brad Pitt, Mireille Enos, Daniella Kertesz, James Badge Dale","United Nations employee Gerry Lane traverses the world in a race against time to stop the Zombie pandemic that is toppling armies and governments, and threatening to destroy humanity itself."
tt0454876,Life of Pi ,2012,8,"329,143","Adventure, Drama",Won 4 Oscars. Another 73 wins & 98 nominations.,4,0,73,98,Ang Lee,"Suraj Sharma, Irrfan Khan, Ayush Tandon, Gautam Belur","A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger."
tt1024648,Argo ,2012,7.8,"345,103","Drama, Thriller",Won 3 Oscars. Another 92 wins & 111 nominations.,3,0,92,111,Ben Affleck,"Ben Affleck, Bryan Cranston, Alan Arkin, John Goodman","Acting under the cover of a Hollywood producer scouting a location for a science fiction film, a CIA agent launches a dangerous operation to rescue six Americans in Tehran during the U.S. hostage crisis in Iran in 1980."
tt1707386,Les Mis̩rables ,2012,7.7,"197,864","Drama, Musical, Romance",Won 3 Oscars. Another 78 wins & 144 nominations.,3,0,78,144,Tom Hooper,"Hugh Jackman, Russell Crowe, Anne Hathaway, Amanda Seyfried","In 19th-century France, Jean Valjean, who for decades has been hunted by the ruthless policeman Javert after breaking parole, agrees to care for a factory worker's daughter. The decision changes their lives for ever."
tt1853728,Django Unchained ,2012,8.5,"657,897",Western,Won 2 Oscars. Another 57 wins & 86 nominations.,2,0,57,86,Quentin Tarantino,"Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Kerry Washington","With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner."
tt0443272,Lincoln ,2012,7.4,"162,874","Biography, Drama, History",Won 2 Oscars. Another 112 wins & 169 nominations.,2,0,112,169,Steven Spielberg,"Daniel Day-Lewis, Sally Field, David Strathairn, Joseph Gordon-Levitt","As the Civil War continues to rage, America's president struggles with continuing carnage on the battlefield and as he fights with many inside his own cabinet on the decision to emancipate the slaves."
tt1074638,Skyfall ,2012,7.8,"412,967","Action, Adventure",Won 2 Oscars. Another 64 wins & 89 nominations.,2,0,64,89,Sam Mendes,"Daniel Craig, Judi Dench, Javier Bardem, Ralph Fiennes","Bond's loyalty to M is tested when her past comes back to haunt her. Whilst MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost."
tt1602620,Amour ,2012,7.8,"57,486","Drama, Romance",Won 1 Oscar. Another 79 wins & 66 nominations.,1,0,79,66,Michael Haneke,"Jean-Louis Trintignant, Emmanuelle Riva, Isabelle Huppert, Alexandre Tharaud","Georges and Anne are an octogenarian couple. They are cultivated, retired music teachers. Their daughter, also a musician, lives in Britain with her family. One day, Anne has a stroke, and the couple's bond of love is severely tested."
tt1217209,Brave ,2012,7.2,"196,920","Animation, Adventure, Comedy",Won 1 Oscar. Another 17 wins & 38 nominations.,1,0,17,38,"Mark Andrews, Brenda Chapman, Steve Purcell","Kelly Macdonald, Billy Connolly, Emma Thompson, Julie Walters","Determined to make her own path in life, Princess Merida defies a custom that brings chaos to her kingdom. Granted one wish, Merida must rely on her bravery and her archery skills to undo a beastly curse."
